Start_time,Depthsum,Depths
2021.05.02,13264287,591467
2021.05.03,15097958,673556
2021.05.04,15157910,671643
2021.05.05,24699204,1095333
2021.05.06,19079934,849903
2021.05.07,17095769,763277
2021.05.08,6994735,313875
2021.05.09,7519498,338852
2021.05.10,10070137,453398
2021.05.11,11037613,491922
2021.05.12,12205478,544542
2021.05.13,28350633,1254751
2021.05.14,25798426,1138457
2021.05.15,31300113,1385809
2021.05.16,19917918,883896
2021.05.17,23487058,1050499
2021.05.18,31114258,1370895
2021.05.19,17680431,792630
2021.05.20,12428232,559967
2021.05.21,17984983,802449
2021.05.22,19237888,861431
2021.05.23,21940125,979494
2021.05.24,27716713,1221932
2021.05.25,13130620,584290
2021.05.26,19563734,881570
2021.05.27,14271106,643734
2021.05.28,8773037,393430
2021.05.29,12481165,558358
2021.05.30,12146627,544031
2021.05.31,19310039,873063
2021.06.01,10227072,460798
2021.06.02,12358831,558171
2021.06.03,15075913,678834
2021.06.04,19035954,847240
2021.06.05,30265654,1346372
2021.06.06,23676038,1050952
2021.06.07,15291954,686953
2021.06.08,15409852,695304
2021.06.09,17857488,808218
2021.06.10,16455617,743145
2021.06.11,15389456,695319
2021.06.12,19156541,861814
2021.06.13,24814142,1114074
2021.06.14,20192023,899796
2021.06.15,29142275,1296901
2021.06.16,22867817,1020694
2021.06.17,19351959,861717
2021.06.18,18382265,818717
2021.06.19,23270444,1031969
2021.06.20,18525306,817810
2021.06.21,26338561,1167099
2021.06.22,18039990,795222
2021.06.23,20592878,913503
2021.06.24,15013241,667208
2021.06.25,17314802,770896
2021.06.26,30109885,1340840
2021.06.27,33160879,1476907
2021.06.28,22162310,991817
2021.06.29,9477917,425110
2021.06.30,9106095,406119
2021.07.01,10746364,479513
2021.07.02,11466071,520081
2021.07.03,7236686,328897
2021.07.04,4201759,187925
2021.07.05,5235285,235211
2021.07.06,7131509,319724
2021.07.07,6193033,278983
2021.07.08,10815338,485504
2021.07.09,5493807,246142
2021.07.10,8095560,363684
2021.07.11,12323696,552078
2021.07.12,19402115,874255
2021.07.13,12628884,568632
2021.07.14,13861335,619106
2021.07.15,12326146,548829
2021.07.16,9660270,431605
2021.07.17,10144790,453435
2021.07.18,11509577,514183
2021.07.19,12501683,557019
2021.07.20,15086923,673392
2021.07.21,15638976,697896
2021.07.22,14061890,628265
2021.07.23,17784938,794752
2021.07.24,10790111,482218
2021.07.25,18581497,825063
2021.07.26,15147435,671312
2021.07.27,10380162,458820
2021.07.28,11031346,490264
2021.07.29,10397314,462031
2021.07.30,19541787,873747
2021.07.31,17550082,788017
2021.08.01,12974900,589421
2021.08.02,14364662,652859
